Kod,Ad,Miktar,Maliyet,Satış
159,Cake - Sheet Strawberry,343,881.46,3311.1
160,"Soup - Campbells, Chix Gumbo",790,980.51,3518.72
161,Pail With Metal Handle 16l White,573,100.34,1052.84
162,Bamboo Shoots - Sliced,345,826.84,887.79
163,Nantuket Peach Orange,730,604.04,3450.87
164,Catfish - Fillets,41,881.44,3332.65
165,Pepper - Green,22,63.04,2477.92
166,Sobe - Green Tea,433,581.54,1199.1
167,"Vodka - Hot, Lnferno",155,979.51,1563.98
168,Wine - Guy Sage Touraine,94,905.32,2471.2
169,"Water - Mineral, Carbonated",617,687.79,3675.26
170,Cookie - Oatmeal,163,761.26,1560.84
171,Beans - French,758,393.13,1715.52
172,Vegetable - Base,167,921.62,3248.26
173,Coriander - Ground,28,69.61,2011.28
174,Fish - Bones,824,662.22,1151.84
175,"Mushroom - Morels, Dry",362,808.9,2436.68
176,"Nut - Walnut, Pieces",872,573.22,3006.44
177,Lettuce - Arugula,879,490.95,3649.53
178,Pastrami,39,571.2,1277.97
179,Lamb Rack Frenched Australian,739,118.49,1110.06
180,Peppercorns - Pink,773,131.42,795.5
181,"Soup - Campbells, Classic Chix",523,567.95,2038.81
182,Rabbit - Whole,884,438.67,1866.67
183,Appetizer - Lobster Phyllo Roll,522,853.49,2978.87
184,Devonshire Cream,207,198.17,2481.32
185,Buttons,165,138.14,1337.21
186,Cookies - Assorted,980,746.5,1961.29
187,Mushroom - King Eryingii,933,806.91,844.82
188,Paper Cocktail Umberlla 80 - 180,894,930.42,1981.19
189,Dasheen,154,215.17,1253.32
190,Flour - Cake,303,769.41,782.65
191,Eel Fresh,5,924.89,825.21
192,Sword Pick Asst,927,950.57,3250.83
193,"Soup - Campbells, Beef Barley",663,70.49,1398.74
194,"Wine - White, Lindemans Bin 95",634,699.23,708.14
195,Wine - Savigny - Les - Beaune,914,174.12,2319.84
196,Pasta - Cheese / Spinach Bauletti,608,199.85,1583.82
197,Soap - Hand Soap,671,294.15,1186.05
198,Cranberries - Frozen,688,122.52,1942.54
199,Chicken - Livers,226,250.31,1495.54
200,Grapes - Green,605,70.29,1235.26
201,"Star Anise, Whole",826,517.5,2002.95
202,Bread - 10 Grain Parisian,351,363.21,776.91
203,Steam Pan Full Lid,226,535.44,3213.2
204,Flour - Strong Pizza,573,171.54,1877.04
205,Soup - Chicken And Wild Rice,941,567.6,1538.98
206,Pepper - Gypsy Pepper,567,589.42,3617.82
207,Walkers Special Old Whiskey,920,866.03,1015.92
208,Carrots - Jumbo,405,952.95,2837.98
209,Wine - Sawmill Creek Autumn,586,999.92,1944.46
210,Cream - 18%,745,390.5,1545.27
211,Bread Cranberry Foccacia,350,840.5,3140.49
212,Fenngreek Seed,677,359.61,2252.61
213,Mint - Fresh,174,491.56,3777.27
214,"Pepper - White, Whole",454,802.82,3073.76
215,Flour - Pastry,846,190.6,1483.05
216,Bagel - Plain,628,174.69,2719.71
217,"Wine - Red, Harrow Estates, Cab",871,442.37,1735.41
218,"Lobster - Baby, Boiled",520,347.99,2920.31
219,Tea - Orange Pekoe,637,262.11,926.55
220,"Oregano - Dry, Rubbed",943,961.65,1117.57
221,Flavouring - Raspberry,176,771.05,3221.31
222,Juice - Lime,354,571.44,3813.08
223,Oil - Hazelnut,243,173.12,954.72
224,Flavouring - Rum,181,446.88,2664.87
225,"Stock - Veal, White",92,356.52,2425.67
226,"Pork - Tenderloin, Fresh",742,529.05,999.2
227,Pepper - Sorrano,853,716.71,1199.87
228,Huck Towels White,183,502.29,1215.41
229,"Trout - Hot Smkd, Dbl Fillet",64,384.14,1418.2
230,Wine - Chianti Classico Riserva,635,346.01,1997.58
231,Spinach - Spinach Leaf,876,741.93,1149.2
232,Sobe - Berry Energy,717,192.3,3830.53
233,Plasticforkblack,63,831.66,3581.84
234,Bar - Granola Trail Mix Fruit Nut,684,390.05,1129.44
235,Milk - Chocolate 500ml,633,713.84,1556.78
236,"Nut - Walnut, Pieces",770,915.41,1145.13
237,Foam Espresso Cup Plain White,771,484.44,3247.78
238,Bread Base - Gold Formel,538,279.96,1774.27
239,Soup Campbells,121,479.98,3825.83
240,Pike - Frozen Fillet,675,976.39,2915.92
241,Onion - Dried,145,395.47,1866.53
242,"Pepper - Paprika, Hungarian",318,597.09,3836.17
243,Wood Chips - Regular,960,916.99,3671.04
244,Bananas,239,759.09,1036.1
245,Tea Leaves - Oolong,318,593.44,3641.85
246,Wine - Chateau Aqueria Tavel,622,348.37,1835.57
247,Beer - Mcauslan Apricot,530,640.96,3190.98
248,"Coffee - Beans, Whole",673,964.18,2067.94
249,Beef - Cow Feet Split,52,373.74,2694.27
250,"Tarragon - Primerba, Paste",189,172.53,999.13
251,Pepper - Cayenne,184,294.24,1055.83
252,Wine - Manischewitz Concord,934,314.89,2391.74
253,Jolt Cola,476,203.33,2509.88
254,Chips - Doritos,637,216.61,3570.14
255,Juice - Lagoon Mango,819,753.39,2501.37
256,Flower - Potmums,225,379.3,3737.9
257,Cheese - Brick With Onion,237,774.69,2319.83
258,Bouq All Italian - Primerba,223,946.25,1059.66
259,Rice - 7 Grain Blend,884,571.13,2392.19
260,Pike - Frozen Fillet,492,189.65,824.11
261,"Tomatoes - Cherry, Yellow",107,675.36,3285.51
262,The Pop Shoppe - Grape,966,352.75,3562.29
263,Flavouring Vanilla Artificial,322,997.74,2835.54
264,Tilapia - Fillets,556,543.42,2542.0
265,Marzipan 50/50,470,778.22,1577.09
266,Cocoa Feuilletine,10,273.01,2805.07
267,Tomatoes - Cherry,684,853.33,3511.57
268,Pate - Liver,837,385.95,2377.1
269,Grouper - Fresh,708,246.67,3134.93
270,Red Pepper Paste,978,198.93,770.58
271,Island Oasis - Peach Daiquiri,751,668.55,3948.69
272,Ice Cream Bar - Rolo Cone,653,137.39,979.87
273,"Stock - Beef, Brown",521,915.84,2813.99
274,Turkey - Oven Roast Breast,309,860.4,2122.9
275,"Crab - Back Fin Meat, Canned",445,78.31,2367.54
276,"Cheese - Boursin, Garlic / Herbs",574,51.44,3023.98
277,Apricots - Dried,195,418.18,3894.82
278,Beef - Prime Rib Aaa,142,499.26,2127.58
279,Lettuce - Escarole,760,675.57,1192.67
280,Wine - Montecillo Rioja Crianza,44,802.87,3770.82
281,Puree - Mocha,638,574.84,3881.02
282,Hand Towel,877,438.59,2611.87
283,Apple - Fuji,734,914.15,2000.0
284,Cookies - Englishbay Chochip,295,168.72,3008.46
285,"Chocolate - Pistoles, Lactee, Milk",211,494.75,1807.45
286,Wine - Vouvray Cuvee Domaine,299,746.96,1810.03
287,"Salmon - Whole, 4 - 6 Pounds",327,168.53,2479.28
288,Pork Salted Bellies,780,527.56,1617.51
289,"Wine - White, Ej",552,957.41,1903.24
290,Spinach - Baby,561,667.94,2064.04
291,"Cheese - Woolwich Goat, Log",486,808.05,3555.85
292,"Beans - Black Bean, Canned",824,895.52,3185.0
293,Barramundi,106,203.68,1896.02
294,Wine - Acient Coast Caberne,422,599.31,1709.73
295,"Bag - Bread, White, Plain",828,187.98,3408.54
296,Towels - Paper / Kraft,14,696.65,2434.14
297,Gatorade - Fruit Punch,617,651.05,3891.22
298,Tea - Vanilla Chai,859,181.73,2925.19
299,Cheese - Goat With Herbs,89,924.96,1307.42
300,Tofu - Soft,496,624.59,3452.61
301,Pie Filling - Pumpkin,170,174.96,1063.17
302,Icecream Bar - Del Monte,532,357.74,3233.82
303,Ezy Change Mophandle,585,109.72,2408.54
304,"Cheese - Cheddar, Old White",759,995.98,2435.09
305,Langers - Mango Nectar,944,992.54,3413.07
306,Nantucket Orange Juice,411,524.79,2494.18
307,Water - Spring 1.5lit,940,351.65,2926.2
308,Puff Pastry - Slab,715,998.57,2731.64
309,Water - Green Tea Refresher,892,556.54,1234.41
310,Muffin Orange Individual,93,437.76,3842.16
311,Duck - Breast,126,914.37,1515.45
312,Ice Cream - Vanilla,121,548.45,1722.6
313,Cake - Cake Sheet Macaroon,172,229.46,1977.89
314,Wine - Piper Heidsieck Brut,111,243.17,2448.59
315,Bulgar,321,119.92,2332.29
316,Sauerkraut,337,738.63,3806.73
317,Beef Dry Aged Tenderloin Aaa,249,665.4,2178.28
318,"Pasta - Rotini, Colour, Dry",332,610.81,1226.77
319,Cookie Trail Mix,337,83.51,3990.36
320,Tomatillo,249,102.07,2291.76
321,Bread - Calabrese Baguette,208,352.22,3272.63
322,Icecream - Dstk Super Cone,712,924.39,1748.57
323,Cup - 4oz Translucent,610,200.57,2192.08
324,Vinegar - White,964,215.9,2904.0
325,Tea Leaves - Oolong,475,128.22,2920.53
326,"Vodka - Hot, Lnferno",380,819.12,3528.54
327,Madeira,227,826.74,3054.02
328,Mahi Mahi,906,230.53,3552.71
329,Salt - Sea,725,395.72,1333.51
330,Parsley Italian - Fresh,844,69.38,2089.71
331,Wine - Shiraz South Eastern,463,990.08,2412.13
332,Juice - Lime,922,361.52,2256.29
333,Muffins - Assorted,863,825.07,1482.08
334,Gatorade - Xfactor Berry,355,203.93,1979.46
335,Wine - Rubyport,598,890.97,2625.74
336,Table Cloth 90x90 Colour,77,829.4,885.15
337,Beef - Top Sirloin,792,781.58,2464.52
338,Tea - Decaf Lipton,955,639.91,2637.34
339,Mushroom - King Eryingii,286,470.31,2071.95
340,Appetizer - Tarragon Chicken,167,948.35,3776.22
341,"Radish - Black, Winter, Organic",601,772.78,3123.0
342,"Salmon - Atlantic, Skin On",721,394.23,1335.6
343,Lobster - Base,265,721.02,1940.2
344,Water Chestnut - Canned,304,304.05,2124.91
345,Flour - All Purpose,924,385.18,2314.77
346,Veal - Liver,482,622.62,3978.97
347,Seedlings - Clamshell,860,482.94,2429.85
348,Squash - Guords,986,364.21,3580.12
349,Muffin Mix - Banana Nut,523,931.9,3005.79
350,Gelatine Leaves - Bulk,427,56.72,1623.68
351,Compound - Rum,629,320.39,827.65
352,Mince Meat - Filling,866,753.95,1811.08
353,Grand Marnier,295,266.99,2195.59
354,Baking Powder,435,293.0,2320.88
355,Soup - Base Broth Chix,888,67.38,3336.41
356,Bread - Wheat Baguette,722,576.52,1014.86
357,Sausage - Meat,389,892.94,2938.01
358,Crab - Meat,396,200.92,3634.33
359,"Bread - Bagels, Mini",333,735.81,3082.29
360,Grand Marnier,517,189.99,3449.09
361,Veal Inside - Provimi,788,519.63,3496.28
362,Table Cloth 53x53 White,943,813.69,808.52
363,Wine - Guy Sage Touraine,700,402.81,2814.14
364,Cheese - Swiss,237,454.28,2606.3
365,"Brownies - Two Bite, Chocolate",34,497.27,2627.97
366,Pork - Side Ribs,290,125.95,3597.82
367,"Lettuce - Mini Greens, Whole",901,197.07,2140.67
368,Bowl 12 Oz - Showcase 92012,812,693.6,1522.92
369,"Jam - Strawberry, 20 Ml Jar",915,361.15,2604.68
370,"Nut - Hazelnut, Whole",720,988.74,1787.53
371,Pants Custom Dry Clean,561,71.25,3325.95
372,Lobster - Canned Premium,902,683.32,2851.64
373,"Shrimp - 16/20, Peeled Deviened",129,89.99,3827.16
374,Flour Dark Rye,227,987.51,3397.68
375,Steamers White,831,541.88,3750.04
376,Cookie Dough - Chocolate Chip,395,50.62,1281.2
377,Table Cloth 62x120 Colour,339,208.25,1231.63
378,"Crab - Dungeness, Whole",315,719.84,3801.53
379,External Supplier,661,741.61,2781.84
380,Green Scrubbie Pad H.duty,354,583.06,2137.67
381,Gatorade - Cool Blue Raspberry,262,991.77,1716.77
382,Bacardi Mojito,570,697.18,2403.73
383,"Oil - Shortening,liqud, Fry",913,893.14,1321.82
384,Wine - Pinot Noir Latour,513,683.03,1039.1
385,Tea - Camomele,720,479.5,1144.63
386,Nantucket - 518ml,49,794.01,942.83
387,Table Cloth 62x120 Colour,664,451.45,1693.48
388,Squash - Sunburst,782,963.69,3509.22
389,"Wine - White, Riesling, Henry Of",487,442.61,989.47
390,Wakami Seaweed,344,111.92,1412.96
391,"Pepper - Green, Chili",636,759.7,2889.95
392,Cheese - St. Paulin,951,432.86,2727.41
393,"Pasta - Tortellini, Fresh",805,954.79,1965.4
394,Rye Special Old,165,299.22,1188.94
395,Aspic - Clear,532,385.01,1438.32
396,Flour - Chickpea,258,878.35,3240.57
397,Sugar - Monocystal / Rock,986,495.56,3154.27
398,Puree - Blackcurrant,582,758.25,3940.62
399,Wine - Riesling Dr. Pauly,123,654.7,1027.59
400,"Iced Tea - Lemon, 460 Ml",495,433.65,1324.36
401,"Mustard - Dry, Powder",644,388.73,3259.95
402,Beer - Sleemans Cream Ale,924,64.84,3845.47
403,Squid Ink,152,977.96,1638.4
404,Pie Filling - Pumpkin,245,698.02,2461.62
405,"Syrup - Monin, Swiss Choclate",623,675.53,1507.66
406,"Mushroom - Chanterelle, Dry",467,963.53,2807.41
407,Bread - Kimel Stick Poly,244,478.52,1299.31
408,Bread - Italian Corn Meal Poly,638,783.19,3832.09
409,Soup - Campbells Broccoli,277,933.78,1691.52
410,Pork - Kidney,744,308.2,2567.64
411,"Bread - Pita, Mini",811,144.74,3951.7
412,Beef - Short Loin,502,157.02,2068.57
413,Beans - Fine,384,974.25,2911.15
414,Bread - Focaccia Quarter,817,150.64,1282.94
415,Pork - European Side Bacon,248,580.65,3632.47
416,Nantucket Orange Juice,341,433.63,2281.7
417,Kahlua,725,322.5,750.14
418,Table Cloth 144x90 White,434,779.43,1971.16
419,Country Roll,530,157.93,2990.6
420,Ham - Cooked,595,683.84,1953.58
421,Red Currants,26,952.09,3321.52
422,Flour - Strong Pizza,207,622.06,1018.46
423,Beer - Paulaner Hefeweisse,879,853.63,3112.1
424,Worcestershire Sauce,357,275.49,3521.25
425,Energy Drink - Redbull 355ml,973,280.36,1561.45
426,Tuna - Sushi Grade,621,856.89,1946.67
427,Cilantro / Coriander - Fresh,695,287.42,2154.7
428,Bandage - Flexible Neon,994,165.71,1220.03
429,Strawberries - California,554,103.14,934.64
430,Pork - Liver,383,678.66,3077.03
431,Lemon Balm - Fresh,977,83.04,2250.87
432,"Syrup - Monin, Swiss Choclate",655,321.79,1543.8
433,Crackers - Melba Toast,568,578.1,1150.63
434,Gherkin,743,161.82,1610.74
435,Pate - Liver,873,544.97,1132.03
436,Wine - Acient Coast Caberne,690,296.36,3526.2
437,Pasta - Angel Hair,701,508.75,2400.67
438,Cornstarch,538,422.67,2032.04
439,Cognac - Courvaisier,973,998.7,2438.19
440,Wiberg Super Cure,229,604.76,3793.61
441,Beans - Butter Lrg Lima,722,928.27,1082.55
442,Kellogs Raisan Bran Bars,260,101.57,1957.12
443,Table Cloth 53x69 White,358,635.71,2196.85
444,Steel Wool S.o.s,116,429.08,3041.73
445,"Pasta - Rotini, Dry",104,716.42,3918.47
446,Bread Base - Goodhearth,868,530.89,3819.7
447,Horseradish - Prepared,316,166.97,3181.6
448,Sauce - Caesar Dressing,778,925.66,2254.56
449,"Veal - Shank, Pieces",1,703.64,3034.25
450,Dasheen,119,187.52,3000.39
451,"Tart Shells - Savory, 4",626,711.08,3841.75
452,Skirt - 29 Foot,925,272.18,1781.0
453,Flour - Pastry,19,98.27,3251.49
454,"Ice - Clear, 300 Lb For Carving",90,758.14,3477.45
455,Cocoa Powder - Natural,326,635.89,1323.85
456,Fish - Bones,665,929.81,1217.16
457,"Coke - Diet, 355 Ml",512,894.87,3183.56
458,"Cheese - Cheddar, Mild",857,391.73,743.03
459,Fork - Plastic,682,81.77,3375.44
460,Bagel - Plain,84,768.61,922.55
461,Brandy Cherry - Mcguinness,411,383.81,3305.24
462,Wine - Chianti Classica Docg,189,804.44,3534.12
463,Island Oasis - Wildberry,132,59.62,2987.89
464,Jagermeister,269,145.11,3728.44
465,Spic And Span All Purpose,192,152.93,1518.66
466,Rosemary - Dry,26,829.51,1649.8
467,Buttons,788,929.84,1947.75
468,Tomatoes Tear Drop Yellow,123,189.31,871.31
469,Wine - Casillero Deldiablo,156,724.24,3722.59
470,Lettuce - Treviso,348,863.24,3889.9
471,Eggplant Oriental,119,765.18,2393.36
472,Almonds Ground Blanched,620,754.44,719.68
473,Cornstarch,29,593.66,974.81
474,Cocktail Napkin Blue,259,954.73,2381.4
475,Tamarind Paste,996,270.7,3350.47
476,Cookies - Amaretto,577,983.27,1651.44
477,Cups 10oz Trans,835,577.23,2977.36
478,"Wine - Red, Black Opal Shiraz",736,588.28,1635.22
479,"Veal - Brisket, Provimi,bnls",667,283.58,3234.97
480,Flower - Dish Garden,45,564.15,2139.86
481,"Wine - White, Pelee Island",809,914.05,3266.43
482,Muffins - Assorted,739,573.45,2989.58
483,Veal - Provimi Inside,787,983.05,3397.71
484,Mushroom Morel Fresh,726,408.37,3598.56
485,"Juice - Clam, 46 Oz",107,741.31,2177.36
486,Wine - Beringer Founders Estate,532,699.63,2726.57
487,Tray - 12in Rnd Blk,155,563.68,2849.57
488,"Mushroom - Enoki, Dry",362,169.37,1372.45
489,Wine - Coteaux Du Tricastin Ac,390,465.12,1911.35
490,Temperature Recording Station,517,558.97,779.29
491,Cumin - Ground,991,973.37,1454.72
492,Wine - Sogrape Mateus Rose,282,335.96,1125.08
493,Cup - Translucent 7 Oz Clear,598,65.78,3700.94
494,"Wine - Red, Cabernet Merlot",970,586.34,1396.14
495,Chocolate - Semi Sweet,658,141.22,1664.81
496,Turnip - Wax,411,947.66,3127.54
497,Huck White Towels,280,163.63,2239.52
498,Arizona - Plum Green Tea,934,131.6,3628.63
499,Cucumber - Pickling Ontario,50,815.48,3759.02
500,Lychee,189,538.62,3245.94
501,Apple - Fuji,172,919.49,782.05
502,Bread - Sour Batard,813,999.14,1842.82
503,Bagel - 12 Grain Preslice,226,461.76,1013.54
504,Anchovy Fillets,675,701.84,1667.7
505,Pie Filling - Apple,590,697.91,1437.05
506,"Oil - Food, Lacquer Spray",996,412.96,2975.05
507,Chicken - Base,614,721.64,3500.1
508,Pork - Smoked Kassler,972,868.06,3833.87
509,Tamarillo,857,940.39,2075.97
510,Wine - Taylors Reserve,338,777.21,2556.71
511,Cake - Sheet Strawberry,375,134.18,2565.49
512,Tea - Jasmin Green,610,860.72,2018.12
513,Onions - White,41,241.48,3886.94
514,Bread - Calabrese Baguette,578,339.66,717.57
515,Cookie Dough - Oatmeal Rasin,777,708.32,1458.38
516,Cumin - Whole,596,941.98,2150.09
517,Dried Cherries,580,702.76,3859.7
518,Bread - White Mini Epi,457,175.13,2319.84
519,"Lentils - Green, Dry",177,684.34,3618.06
520,Table Cloth 81x81 Colour,383,746.46,1372.12
521,"Soup - Campbells, Beef Barley",518,668.18,910.14
522,Pomegranates,18,842.31,3702.98
523,Rabbit - Legs,472,759.56,2037.66
524,Compound - Rum,746,890.02,2910.74
525,Corn Shoots,754,584.03,1904.64
526,Tomato - Plum With Basil,792,196.89,867.88
527,Muffin Mix - Lemon Cranberry,7,929.87,2425.67
528,Muffin - Bran Ind Wrpd,870,165.05,3090.91
529,Bread - Crusty Italian Poly,332,623.41,2869.89
530,Cloves - Ground,546,481.06,3497.17
531,Apples - Spartan,300,246.91,2410.23
532,"Bread - Roll, Italian",908,379.92,2964.22
533,Wine - Periguita Fonseca,944,543.0,3869.68
534,Fondant - Icing,978,971.73,1056.45
535,Sobe - Orange Carrot,158,706.12,1452.17
536,Table Cloth 62x114 Colour,670,884.07,1369.8
537,Sobe - Cranberry Grapefruit,119,823.62,2915.46
538,Water - Aquafina Vitamin,768,448.74,3470.65
539,Milk - 2% 250 Ml,44,424.43,1082.95
540,"Coconut - Shredded, Sweet",372,337.93,3286.84
541,Towel Dispenser,113,318.73,2974.96
542,Wine - Manischewitz Concord,732,234.6,1532.46
543,Muffin Hinge Container 6,204,468.47,1459.7
544,Cake - Pancake,765,624.78,3588.62
545,Pimento - Canned,892,934.08,1210.89
546,Fond - Chocolate,772,496.3,918.69
